Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-01-03,2193.95,2213.05,2189.66,2199.78,695779
2018-01-04,2205.3,2215.75,2195.3,2206.23,1863194
2018-01-05,2200.95,2221.1,2200.95,2221.1,1002827
2018-01-08,2220.72,2237.35,2214.85,2237.35,1571760
2018-01-09,2241.38,2275.3,2241.38,2269.08,3726463
2018-01-10,2271.91,2278.6,2257.55,2263.61,1459805
2018-01-11,2270.58,2280.86,2259.81,2280.86,1083596
2018-01-12,2279.47,2281.03,2263.63,2269.53,859216
2018-01-15,2271.55,2277.94,2261.3,2261.3,1198072
2018-01-16,2274.75,2281.46,2264.78,2272.79,3513227
2018-01-17,2264.96,2266.41,2255.98,2256.02,1354959
2018-01-18,2252.87,2273.87,2247.53,2273.87,3845244
2018-01-19,2276.28,2284.44,2259.15,2279.51,3324021
2018-01-22,2280.23,2280.84,2264.81,2272.55,1529851
2018-01-23,2276.13,2287.14,2272.2,2277.32,1594829
2018-01-24,2281.81,2283.88,2272.01,2277.15,1347107
2018-01-25,2276.17,2291.22,2272.2,2282.93,1287222
2018-01-26,2277.57,2292.47,2276.34,2285.93,1791382
2018-01-29,2294.69,2302.26,2291.11,2295.2,3550700
2018-01-30,2288.6,2300.55,2282.85,2300.55,2053209
2018-01-31,2284.47,2298.62,2284.47,2295.07,1508818
2018-02-01,2300.64,2300.64,2262.05,2273.32,1076021
2018-02-02,2271.43,2282.68,2259.45,2282.68,1356993
2018-02-05,2280.02,2280.57,2248.83,2266.78,2131165
2018-02-06,2187.47,2218.27,2181.12,2218.27,3546044
2018-02-07,2227.74,2236.78,2203.02,2216.97,1414643
2018-02-08,2226.41,2248.54,2221.31,2248.54,1400222
2018-02-09,2212.49,2236.45,2200.32,2223.49,575605
2018-02-12,2227.15,2238.13,2218.57,2224.01,1771412
2018-02-13,2231.48,2232.51,2222.41,2224.8,481337
2018-02-14,2233.61,2259.63,2224.64,2250.34,1088342
2018-02-15,2254.28,2268.03,2240.75,2245.68,890196
2018-02-16,2241.38,2252.96,2224.32,2235.73,1786047
2018-02-19,2235.55,2237.81,2219.89,2219.89,1343729
2018-02-20,2223.93,2229.01,2210.91,2229.01,1170283
2018-02-21,2220.66,2233.02,2204.12,2206.79,673105
2018-02-22,2197.96,2213.88,2196.09,2209.05,1179323
2018-02-23,2210.81,2223.12,2201.07,2214.04,763115
2018-02-26,2220.99,2231.47,2202.98,2205.22,900902
2018-02-27,2204.12,2210.7,2189.38,2210.7,1190044
2018-02-28,2210.56,2218.02,2183.15,2196.27,2218506
2018-03-01,2188.08,2190.65,2166.3,2172.06,785023
2018-03-02,2168.39,2189.72,2168.39,2178.38,924716
2018-03-05,2180.76,2185.36,2166.57,2185.36,235867
2018-03-06,2189.29,2189.63,2165.72,2176.32,1072136
2018-03-07,2180.74,2199.56,2178.47,2194.9,1191127
2018-03-08,2189.84,2197.42,2182,2183.62,640337
2018-03-09,2195.2,2211.18,2189.98,2201.87,408639
2018-03-12,2213.08,2226.6,2211,2212.58,914120
2018-03-13,2224.88,2235.72,2218.88,2218.88,973434
2018-03-14,2219.58,2225.19,2207.36,2225.19,654886
2018-03-15,2231.33,2231.33,2210.52,2220.28,654542
2018-03-16,2222.9,2222.9,2204.88,2210.32,741686
2018-03-19,2210.34,2219.62,2200.24,2208.58,332682
2018-03-20,2209.03,2214.35,2205.08,2214.35,390716
2018-03-21,2226.33,2244.9,2216.9,2231.59,964296
2018-03-22,2229.99,2234.82,2209.54,2216,575266
2018-03-23,2202.94,2207.53,2190.55,2207.53,1083376
2018-03-26,2205.18,2220.07,2201.15,2215.79,381725
2018-03-27,2216.72,2219.87,2185.23,2197.37,380372
2018-03-28,2196.37,2196.7,2164.93,2179.28,1691348
2018-03-29,2176.75,2202.41,2168.08,2202.41,891705
2018-04-03,2187.94,2214.27,2187.8,2202.02,842620
2018-04-04,2217.21,2222.74,2187.34,2194.93,932713
2018-04-05,2203.03,2209.6,2188.4,2205.27,819593
2018-04-06,2203.38,2203.38,2183.23,2199.01,267061
2018-04-09,2193.69,2214.98,2193.69,2208.8,584876
2018-04-10,2215.45,2216.21,2191.72,2194.84,606531
2018-04-11,2198.07,2208.46,2185.38,2191.21,597005
2018-04-12,2193,2202.33,2181.96,2202.33,795494
2018-04-13,2199.27,2213.46,2198.08,2213.46,546016
2018-04-16,2210.24,2213.92,2193.61,2208.65,457793
2018-04-17,2211.69,2212.33,2196.33,2205.66,623969
2018-04-18,2207.85,2219.83,2197.94,2219.83,1134699
2018-04-19,2216.81,2239.47,2213.97,2220.18,517762
2018-04-20,2222.61,2226.99,2212.16,2222.91,1033875
2018-04-23,2221.22,2223.11,2207.67,2217.36,858016
2018-04-24,2209.75,2219.49,2197.21,2208.63,2157832
2018-04-25,2200.92,2210.24,2192.03,2197.38,1379552
2018-04-26,2203.49,2224.14,2203.49,2205.28,929578
2018-04-27,2212.79,2219.88,2200.39,2219.88,1317143
2018-04-30,2217.03,2217.3,2204.79,2211.94,1018311
2018-05-02,2224.15,2224.38,2203.48,2212.49,425718
2018-05-04,2209.75,2213.9,2180.64,2195.91,398053
2018-05-07,2188.28,2198.22,2185.06,2198.22,559195
2018-05-08,2194.77,2199.35,2164.18,2170.68,1029088
2018-05-09,2171.44,2173.46,2159.82,2168.98,496689
2018-05-10,2176.27,2178.61,2157.65,2164.49,579969
2018-05-11,2170.95,2194.44,2161.07,2194.44,946060
2018-05-14,2192.42,2200.46,2181.96,2182.65,1032717
2018-05-15,2182.12,2193.65,2159.41,2167.43,1384245
2018-05-16,2167.05,2189.95,2166.19,2174.98,8323366
2018-05-17,2170.32,2189.63,2150.59,2183.78,1032587
2018-05-18,2179.85,2182.79,2160.17,2181.56,3633339
2018-05-21,2175.3,2180.45,2167.76,2170.83,569472
2018-05-22,2172.66,2181.12,2163.4,2168.84,2297065
2018-05-23,2170.35,2177.55,2126.78,2134.24,2974921
2018-05-24,2133.14,2141.75,2101.7,2124.01,1322489
2018-05-25,2140.13,2140.4,2093.04,2102.64,845994
2018-05-28,2097.78,2137.88,2094.96,2137.88,1341990
2018-05-29,2113.74,2130.67,2110.23,2125.78,1089929
2018-05-30,2122.21,2147.27,2097.12,2147.27,1843702
2018-06-01,2156.82,2164.9,2144.27,2159.57,286246
2018-06-04,2167.47,2167.84,2142.87,2145.77,661790
2018-06-05,2143.4,2173.73,2141.73,2169.36,495838
2018-06-06,2175.41,2181.43,2156.17,2163.92,329185
2018-06-07,2170.79,2196.68,2166.88,2196.68,643992
2018-06-08,2184.47,2186.68,2173.7,2183.97,922561
2018-06-11,2189.51,2196.78,2180.24,2193.55,374454
2018-06-12,2198.06,2204.16,2178.39,2182.38,445145
2018-06-13,2192.56,2203.84,2179.95,2196.17,621794
2018-06-14,2199.55,2199.55,2174.34,2178.88,1511701
2018-06-15,2193.87,2193.87,2153.66,2157.99,1490761
2018-06-18,2156.5,2174.63,2125.84,2128.16,1808233
2018-06-19,2119.38,2138.31,2118.59,2138.31,658951
2018-06-20,2127.73,2146.7,2121.25,2133.72,933789
2018-06-21,2128.18,2133.54,2110.55,2116.3,704950
2018-06-22,2112.46,2135.44,2110.11,2113.57,3324535
2018-06-25,2116.2,2133.03,2106.8,2107.75,5271644
2018-06-26,2108.52,2112.27,2087.5,2103.47,2552460
2018-06-27,2103.89,2111.94,2069.31,2089.73,10791306
2018-06-28,2083.08,2102.34,2070.5,2102.34,7270459
2018-06-29,2100.88,2104.86,2086.57,2088.32,1059875
2018-07-02,2100.07,2101.32,2084.11,2094.3,898555
2018-07-03,2105.95,2127.39,2103.67,2123.59,1930398
2018-07-04,2139.82,2141.45,2117.8,2137.27,462150
2018-07-05,2140.75,2146.49,2106.91,2122.13,1941921
2018-07-06,2131.59,2131.59,2096.75,2105.23,766251
2018-07-09,2109.74,2117.2,2097.51,2109.74,357288
2018-07-10,2109.11,2109.11,2087.94,2102.98,345649
2018-07-11,2088.51,2091.3,2060.4,2084.49,896015
2018-07-12,2078.62,2084.02,2061.63,2071.38,602657
2018-07-13,2061.9,2080.93,2060.95,2075.72,468256
2018-07-16,2083.99,2090.72,2068.08,2090.72,151349
2018-07-17,2087.24,2092.15,2068.18,2083.42,519265
2018-07-18,2073.34,2094.21,2072.52,2094.21,544684
2018-07-19,2084.37,2100.15,2081.64,2097.36,623897
2018-07-20,2087.21,2110.18,2081.11,2096.83,1439445
2018-07-23,2106.68,2110.19,2087.14,2093.88,284097
2018-07-24,2094.66,2114.49,2081.11,2091.81,478114
2018-07-25,2096.2,2103.57,2085.89,2093.73,700306
2018-07-26,2100,2110.96,2088.47,2110.52,663109
2018-07-27,2113.07,2136.12,2111.46,2130.23,1570198
2018-07-30,2125.87,2137.36,2113.7,2124.52,754026
2018-07-31,2134.93,2141.02,2117.55,2141.02,1054309
2018-08-01,2139.96,2139.96,2107.89,2134.81,500949
2018-08-02,2129.25,2129.36,2100.76,2115.49,210209
2018-08-03,2117.07,2119.92,2107.13,2117.76,766067
2018-08-06,2120.2,2121.87,2098.62,2100.86,808050
2018-08-07,2110.17,2116.28,2081.78,2091.85,7796997
2018-08-08,2098.58,2115.02,2098.03,2111.14,1093939
2018-08-09,2104.9,2104.9,2087.98,2092.98,756096
2018-08-10,2102.33,2103.34,2077.98,2095.16,517047
2018-08-13,2095.64,2097.04,2076.87,2076.87,152075
2018-08-14,2080.86,2095.29,2079.22,2082.7,997453
2018-08-16,2070.24,2080.19,2068.19,2071.28,360947
2018-08-17,2071.67,2084.79,2061.71,2073.4,875531
2018-08-20,2083.5,2083.5,2042.42,2055.66,347853
2018-08-21,2052.13,2078.89,2051.39,2066.69,588627
2018-08-22,2073.86,2082.5,2060.01,2080.03,3512252
2018-08-23,2094.87,2120.09,2075.76,2120.09,666040
2018-08-24,2110.13,2131.56,2109.02,2126.9,542944
2018-08-27,2114.6,2132.5,2107.72,2109.7,1140125
2018-08-28,2106.52,2125.98,2099.63,2108.78,291555
2018-08-29,2110.34,2121.49,2103.74,2121.49,622783
2018-08-30,2128.51,2134.21,2105.82,2121.08,700472
2018-08-31,2109.64,2109.64,2078.12,2091.8,3673389
2018-09-03,2095.12,2098.7,2056.65,2065.39,5153066
2018-09-04,2045.03,2048.6,2009.02,2024.32,4745506
2018-09-05,2034.56,2042.69,2009.62,2011.7,2807256
2018-09-06,2011.41,2021.33,1991.17,1991.92,1898372
2018-09-07,1995.97,2002.59,1968.08,1978.36,1141327
2018-09-10,1983.87,1994.53,1965.98,1982.6,2114120
2018-09-11,1996.04,2015.32,1972.15,2015.32,1039399
2018-09-12,2021.35,2033.28,1983.92,1992.37,1524118
2018-09-13,1990.76,2028.77,1990.76,2028.77,1044040
2018-09-14,2016.63,2022.47,2006.99,2015.72,871963
2018-09-17,2021.91,2025.29,1999.96,2012.44,371114
2018-09-18,2023.05,2024.16,2009.24,2015.91,3851939
2018-09-19,2010.87,2035.91,2010.34,2035.37,1241243
2018-09-20,2039.5,2061.28,2036.84,2048.38,12071268
2018-09-21,2049.38,2053.91,2036.27,2036.27,5307949
2018-09-24,2042.46,2067.43,2035.95,2067.43,4557946
2018-09-25,2074.06,2077,2064.58,2064.88,626916
2018-09-26,2055.14,2066.57,2043.02,2046.08,977370
2018-09-27,2055.88,2063.07,2043.51,2050.74,1573105
2018-09-28,2059.17,2068.63,2021.98,2033.93,1446290
2018-10-01,2041.21,2055.67,2040.95,2046.23,700193
2018-10-02,2049.41,2049.41,2032.01,2045.35,7297112
2018-10-03,2044.08,2051.06,2027.57,2041.3,1089759
2018-10-04,2049.52,2069.36,2042.93,2051.9,1445876
2018-10-05,2047.18,2047.18,2028.85,2039.72,1299501
2018-10-08,2032.82,2038.94,2023.26,2038.94,1434255
2018-10-09,2039.98,2041.39,2021.59,2037.05,2164746
2018-10-10,2033.44,2033.44,1979.41,1994.59,1589127
2018-10-11,1970.62,1988.18,1961.67,1982.07,859527
2018-10-12,1992.5,2006.14,1973.06,1981.14,1319954
2018-10-15,1988.48,1996.42,1981.05,1982.15,1258582
2018-10-16,1978.28,1997.45,1976.78,1982.83,888498
2018-10-17,1990.56,2015.16,1987.57,2005.64,1221516
2018-10-18,2001.54,2006.73,1990.61,1997.38,563090
2018-10-19,1989.04,1989.04,1962.67,1962.67,1502266
2018-10-22,1981.28,1988,1965.93,1985.77,960813
2018-10-23,1974.03,1974.16,1950.61,1965.18,658054
2018-10-24,1969.69,1970.55,1958.58,1958.89,495930
2018-10-25,1944.5,1950.27,1919.25,1938.73,389410
2018-10-26,1942.28,1958.95,1925.66,1925.66,1021377
2018-10-29,1924.22,1961.24,1923.97,1956.44,620224
2018-10-30,1952.9,1966.75,1941.14,1953.54,466883
2018-10-31,1957.45,1972.74,1947.59,1966.31,512769
2018-11-02,2034.07,2047.67,2024.33,2024.33,2863528
2018-11-05,2035.8,2041.94,2018.15,2031.5,706356
2018-11-06,2030.88,2034.33,2009.51,2021.93,872072
2018-11-07,2011.63,2033.75,1979.34,1980.39,1195173
2018-11-08,1992.36,2008.2,1984.8,1999.34,530653
2018-11-09,2009.52,2011.24,1988.8,2011.12,500851
2018-11-13,2012.27,2013.91,1989.85,2003.91,299716
2018-11-14,2002.79,2018.6,1985.46,2018.6,455522
2018-11-15,2016.6,2028.99,2014.66,2024.97,1115406
2018-11-16,2019.72,2021.52,1986.92,2019.27,999937
2018-11-19,2016.79,2017.05,1983.87,1997.12,1060989
2018-11-20,1989.54,2008.25,1969.14,1972.89,2199107
2018-11-21,1976.16,1997.97,1969.39,1991.62,1521030
2018-11-22,1997.83,2006.54,1984.25,2006.33,1582492
2018-11-23,2005.62,2022.8,2003.44,2021.81,1069527
2018-11-26,2016.86,2051.99,2016.86,2041.56,1228431
2018-11-27,2042.43,2043.42,2024.96,2037.88,1328395
2018-11-28,2038.18,2043.58,2014.04,2031.3,937560
2018-11-29,2036.29,2039.34,2015.62,2023,587869
2018-11-30,2015.44,2027.36,2014.24,2022.34,1764753
2018-12-03,2017.45,2053.59,2017.45,2035.18,1457780
2018-12-04,2001.66,2010.18,1994.73,2002.72,1385560
2018-12-05,2000.93,2012.85,1996.98,2012.8,1291368
2018-12-06,2007.57,2009.89,1989.68,1993.27,430040
2018-12-07,1991.21,2005.12,1989.05,2000.32,564279
2018-12-10,1996.39,1998.27,1972.4,1978.77,631965
2018-12-11,1987.4,1990.27,1965.7,1971.68,913847
2018-12-12,1977.29,2002.14,1967.26,2002.14,659103
2018-12-13,2006.02,2015.99,1995.61,2015.75,1369861
2018-12-14,2021.41,2021.41,1988.62,1996.34,1083512
2018-12-17,2006.86,2006.86,1948.75,1963.22,833388
2018-12-18,1969.63,1970.18,1922.77,1926.33,1969445
2018-12-19,1925.15,1941.7,1909.04,1935.42,1007046
2018-12-20,1924.61,1937.8,1920.95,1934.11,1026908
2018-12-21,1923.65,1930.43,1903.16,1904.65,1298208
2018-12-27,1926.28,1929.78,1900.03,1908.12,705297
2018-12-28,1915.8,1947.31,1902.33,1911.66,1911675
2019-01-02,1919.36,1929.05,1897.2,1917.58,367240
2019-01-03,1923.56,1933.45,1893.67,1896.12,529454
2019-01-04,1928.87,1928.87,1901.67,1910.65,593083
2019-01-07,1927.81,1935.18,1915.5,1935.18,812363
2019-01-08,1928.17,1958.15,1928.17,1957.52,317043
2019-01-09,1963.5,1984.46,1958.39,1978.61,509727
2019-01-10,1978.87,1978.87,1963.76,1971.02,678032
2019-01-11,1980.51,1984.58,1972.17,1978.72,334918
2019-01-14,1976.54,1976.54,1955.54,1962.66,397325
2019-01-15,1965.48,1985.72,1965.11,1970.14,643765
2019-01-16,1979.26,2004.11,1968.7,1997.32,676128
2019-01-17,2007.68,2012.07,1983.96,1994.86,1005790
2019-01-18,1999.66,2025.3,1999.57,2023.28,786000
2019-01-21,2010.52,2023.69,2001.91,2014.24,286816
2019-01-22,2015.41,2023.35,1998.31,2001.13,695926
2019-01-23,2002.58,2030.54,2001.81,2030.54,426428
2019-01-24,2037.45,2065.47,2030.72,2055.13,733178
2019-01-25,2064.57,2067.04,2055.82,2065.09,310569
2019-01-28,2065.49,2074.33,2051.32,2055.6,479790
2019-01-29,2070.33,2073.38,2056.4,2071.26,282542
2019-01-30,2071.74,2078.2,2070.03,2076.09,429009
2019-01-31,2083.35,2093.02,2073.45,2081.82,933466
2019-02-01,2094.97,2098.94,2076.24,2098.31,884202
2019-02-04,2112.11,2120.96,2105.04,2115.19,347390
2019-02-05,2116.53,2125.42,2103.67,2122.71,996411
2019-02-06,2115.23,2124.81,2113.2,2121.14,1367755
2019-02-07,2125.78,2125.78,2094.57,2116.89,673130
2019-02-08,2115.54,2122.08,2102.22,2122.08,863155
2019-02-11,2125.98,2144.42,2118.21,2138.97,1070739
2019-02-12,2143.13,2150.62,2124.12,2134.29,6913903
2019-02-13,2143.24,2148.77,2116.88,2128.29,636381
2019-02-14,2128.95,2137.45,2118.32,2118.32,359374
2019-02-15,2124.08,2128.13,2112.29,2115.34,577076
2019-02-18,2124.38,2140.97,2101.08,2124.88,1235452
2019-02-19,2128.52,2128.52,2094.11,2106.94,1479889
2019-02-20,2116.15,2125.62,2093.42,2125.62,2095297
2019-02-21,2127.39,2133.13,2113.84,2130.12,1325650
2019-02-22,2138.07,2142.17,2101.77,2108.14,759269
2019-02-25,2111.11,2134.38,2111.11,2119.5,1137293
2019-02-26,2121.62,2132.73,2118.54,2132.65,1544434
2019-02-27,2139,2151.05,2121.48,2124.6,23791476
2019-02-28,2125.34,2133.35,2107.47,2132.24,320531
2019-03-01,2138.97,2153.9,2136.85,2149.96,875731
2019-03-04,2149.45,2155.09,2133.47,2133.47,304266
2019-03-05,2131.69,2152.6,2126.68,2141,734207
2019-03-06,2137.17,2155.53,2125.45,2155.53,743796
2019-03-07,2143.79,2152.98,2138.28,2151.7,530672
2019-03-08,2151.27,2168.97,2141.69,2166.24,322062
2019-03-11,2152.64,2166.66,2147.18,2161.89,1416362
2019-03-12,2157.8,2184.54,2157.74,2184.54,1335816
2019-03-13,2166.99,2184.37,2160.37,2184.37,531123
2019-03-14,2192.27,2192.27,2173.76,2183.81,650337
2019-03-15,2179.21,2203.81,2179.21,2203.81,1339121
2019-03-18,2209.76,2209.92,2183.96,2190.12,698417
2019-03-19,2190.31,2198.74,2181.75,2185.99,747473
2019-03-20,2198.79,2202.54,2179.27,2196.24,443616
2019-03-21,2208.54,2224.48,2190.84,2223.52,1107100
2019-03-22,2215.82,2233.14,2215.82,2226.23,1092498
2019-03-25,2209.33,2217.84,2176.41,2201.15,844667
2019-03-26,2199.38,2212.77,2197.87,2205.51,711159
2019-03-27,2218.01,2229.07,2190.88,2210.73,1160646
2019-03-28,2204.16,2217.91,2184.88,2217.45,300790
2019-03-29,2208.17,2213.04,2182.19,2213.04,797894
2019-04-01,2210.3,2236.32,2208.46,2236.32,317092
2019-04-02,2237.24,2242.8,2213.14,2235.5,297035
2019-04-03,2226.4,2244.82,2226.4,2237.56,430446
2019-04-04,2236.7,2238.73,2218.23,2224.51,370782
2019-04-05,2221.08,2229.88,2201.92,2205.49,564463
2019-04-08,2211.41,2227.51,2199.81,2221.38,332248
2019-04-09,2226.28,2245.78,2226.28,2245.78,790971
2019-04-10,2249.28,2250.95,2213.5,2226.73,887472
2019-04-11,2273.27,2273.27,2230.86,2233.24,812264
2019-04-12,2236.44,2236.44,2207.84,2216.59,516116
2019-04-15,2211.55,2213.52,2173.62,2186.05,489595
2019-04-16,2189.22,2189.22,2169.1,2174.53,326320
2019-04-17,2180.61,2181.79,2156.96,2166.99,333434
2019-04-18,2174.97,2179.05,2153.4,2166.41,389039
2019-04-23,2166.22,2168.35,2148.62,2151.17,368047
2019-04-24,2157.59,2174.87,2157.49,2164.95,348500
2019-04-25,2167.17,2167.79,2146.16,2158.49,359987
2019-04-26,2163.02,2174.88,2148.07,2174.88,381039
2019-04-29,2178.13,2179.11,2163.2,2171.38,230961
2019-04-30,2175.7,2177.16,2153.29,2155.26,292524
